id,description,date,amount,account_name
3,Payroll,2/23/2024,3415.07,Bank of America Checking
4,Payroll,2/23/2024,15000,Bank of America Checking
5,Payroll,3/8/2024,2847.32,Bank of America Checking
6,Payroll,3/22/2024,2856.61,Bank of America Checking
7,Payroll,4/19/2024,2884.31,Bank of America Checking
8,Payroll,4/5/2024,2753.57,Bank of America Checking
9,Payroll,5/3/2024,2764.41,Bank of America Checking
10,Payroll,5/17/2024,2974.26,Bank of America Checking
11,Payroll,5/31/2024,2764.4,Bank of America Checking
12,Payroll,6/28/2024,2954.27,Bank of America Checking
13,Payroll,6/14/2024,2764.41,Bank of America Checking
14,Payroll,7/12/2024,414.66,Bank of America Checking
15,Payroll,7/12/2024,2349.76,AMEX Checking
16,Payroll,7/26/2024,2468.66,AMEX Checking
17,Payroll,7/26/2024,435.65,Bank of America Checking
18,Payroll,8/23/2024,440.14,Bank of America Checking
19,Payroll,8/23/2024,2494.15,AMEX Checking
20,Payroll,8/9/2024,414.66,Bank of America Checking
21,Payroll,8/9/2024,2349.74,AMEX Checking
22,Payroll,9/6/2024,1957.43,AMEX Checking
23,Payroll,9/6/2024,345.43,Bank of America Checking
24,Payroll,9/20/2024,2093.35,AMEX Checking
25,Payroll,9/20/2024,583.99,Bank of America Checking
26,Payroll,10/4/2024,293.78,Bank of America Checking
27,Payroll,10/4/2024,1664.78,AMEX Checking
